Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,
"C2, C3",1206,2,10uF,
J1,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2, R3, R4",0805,4,4.7K,
R5,2512,1,0.1R,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,Converter_ACDC_Hi-Link_HLK-10Mxx,1,HLK-10M05,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U3,SOT-23-5,1,ME6211C33M5,
